pool-1-thread-2, CONTAINS, 11687891879442, LIN_CON, 11687891891375, RET, false, 11687891895276
pool-1-thread-2, CONTAINS, 11687891905073, LIN_CON, 11687891915808, RET, false, 11687891919433
pool-1-thread-2, CONTAINS, 11687891929282, LIN_CON, 11687891939722, RET, false, 11687891943248
pool-1-thread-2, CONTAINS, 11687891953082, LIN_CON, 11687891963418, RET, false, 11687891966898
pool-1-thread-2, CONTAINS, 11687891976341, LIN_CON, 11687891989938, RET, false, 11687891996122
pool-1-thread-2, REMOVE, 11687892011406, LIN_REM, 11687892036061, RET, false, 11687892043987
pool-1-thread-2, CONTAINS, 11687892062120, LIN_CON, 11687892076141, RET, false, 11687892079818
pool-1-thread-2, ADD, 11687892089510, LIN_ADD, 11687892124249, RET, true, 11687892129274
pool-1-thread-1, ADD, 11687892141168, LIN_ADD, 11687892162121, RET, false, 11687892169216
pool-1-thread-2, ADD, 11687892140855, LIN_ADD, 11687892152378, RET, false, 11687892159584
pool-1-thread-2, CONTAINS, 11687892174960, LIN_CON, 11687892198834, RET, false, 11687892218871
pool-1-thread-1, REMOVE, 11687892183192, LIN_REM, 11687892193924, RET, true, 11687892199002
pool-1-thread-1, REMOVE, 11687892207595, LIN_REM, 11687892215528, RET, false, 11687892220278
pool-1-thread-1, REMOVE, 11687892231445, LIN_REM, 11687892240629, RET, false, 11687892245528
pool-1-thread-2, REMOVE, 11687892234982, LIN_REM, 11687892247117, RET, false, 11687892251717
pool-1-thread-1, ADD, 11687892255799, LIN_ADD, 11687892276354, RET, true, 11687892282940
pool-1-thread-2, ADD, 11687892262271, LIN_ADD, 11687892278508, RET, false, 11687892285563
pool-1-thread-1, ADD, 11687892297112, LIN_ADD, 11687892307752, RET, false, 11687892312440
pool-1-thread-2, REMOVE, 11687892299080, LIN_REM, 11687892315409, RET, true, 11687892329751
pool-1-thread-1, CONTAINS, 11687892321750, LIN_CON, 11687892330827, RET, false, 11687892335101
pool-1-thread-1, CONTAINS, 11687892340030, LIN_CON, 11687892344742, RET, false, 11687892346158
pool-1-thread-1, ADD, 11687892350384, LIN_ADD, 11687892360147, RET, true, 11687892362185
pool-1-thread-2, ADD, 11687892367606, LIN_ADD, 11687892391705, RET, true, 11687892397043
pool-1-thread-1, REMOVE, 11687892368015, LIN_REM, 11687892377190, RET, true, 11687892388818
pool-1-thread-1, REMOVE, 11687892393451, LIN_REM, 11687892405860, RET, true, 11687892410802
pool-1-thread-2, REMOVE, 11687892409453, LIN_REM, 11687892419693, RET, false, 11687892423489
pool-1-thread-1, ADD, 11687892421901, LIN_ADD, 11687892430841, RET, true, 11687892432807
pool-1-thread-2, REMOVE, 11687892440145, LIN_REM, 11687892457622, RET, false, 11687892463551
pool-1-thread-1, REMOVE, 11687892440381, LIN_REM, 11687892449765, RET, true, 11687892458248
pool-1-thread-1, CONTAINS, 11687892465807, LIN_CON, 11687892474384, RET, false, 11687892488546
pool-1-thread-2, ADD, 11687892479434, LIN_ADD, 11687892489569, RET, true, 11687892496373
pool-1-thread-2, REMOVE, 11687892506459, LIN_REM, 11687892519446, RET, true, 11687892530776
pool-1-thread-1, ADD, 11687892513735, LIN_ADD, 11687892522929, RET, true, 11687892527307
pool-1-thread-1, ADD, 11687892532248, LIN_ADD, 11687892538802, RET, false, 11687892542471
pool-1-thread-2, REMOVE, 11687892544600, LIN_REM, 11687892580434, RET, true, 11687892588763
pool-1-thread-1, CONTAINS, 11687892550596, LIN_CON, 11687892570178, RET, true, 11687892572186
pool-1-thread-1, REMOVE, 11687892577544, LIN_REM, 11687892583586, RET, false, 11687892587666
pool-1-thread-1, CONTAINS, 11687892592012, LIN_CON, 11687892597955, RET, false, 11687892599718
pool-1-thread-2, CONTAINS, 11687892602551, LIN_CON, 11687892616573, RET, true, 11687892621880
pool-1-thread-1, ADD, 11687892605217, LIN_ADD, 11687892616181, RET, true, 11687892618150
pool-1-thread-1, REMOVE, 11687892625384, LIN_REM, 11687892634962, RET, true, 11687892638743
pool-1-thread-2, ADD, 11687892633120, LIN_ADD, 11687892644049, RET, true, 11687892648736
pool-1-thread-1, ADD, 11687892645594, LIN_ADD, 11687892651841, RET, false, 11687892655053
pool-1-thread-1, CONTAINS, 11687892660500, LIN_CON, 11687892665155, RET, true, 11687892666991
pool-1-thread-2, REMOVE, 11687892662403, LIN_REM, 11687892681425, RET, true, 11687892689056
pool-1-thread-1, REMOVE, 11687892673125, LIN_REM, 11687892681881, RET, false, 11687892686095
pool-1-thread-1, CONTAINS, 11687892692228, LIN_CON, 11687892698039, RET, false, 11687892699693
pool-1-thread-2, REMOVE, 11687892701194, LIN_REM, 11687892713588, RET, false, 11687892731403
pool-1-thread-1, ADD, 11687892705034, LIN_ADD, 11687892715259, RET, true, 11687892725224
pool-1-thread-1, CONTAINS, 11687892730323, LIN_CON, 11687892736457, RET, true, 11687892739516
pool-1-thread-2, ADD, 11687892743748, LIN_ADD, 11687892753671, RET, false, 11687892758880
pool-1-thread-1, CONTAINS, 11687892748139, LIN_CON, 11687892754560, RET, true, 11687892759406
pool-1-thread-1, ADD, 11687892765813, LIN_ADD, 11687892770687, RET, false, 11687892772174
pool-1-thread-2, CONTAINS, 11687892771542, LIN_CON, 11687892783856, RET, true, 11687892788142
pool-1-thread-1, ADD, 11687892777283, LIN_ADD, 11687892782039, RET, false, 11687892783268
pool-1-thread-1, CONTAINS, 11687892787166, LIN_CON, 11687892793457, RET, true, 11687892796305
pool-1-thread-2, CONTAINS, 11687892799560, LIN_CON, 11687892810604, RET, true, 11687892814690
pool-1-thread-1, CONTAINS, 11687892801223, LIN_CON, 11687892806549, RET, true, 11687892809022
